Número Licitação;Número Processo;Objeto;Modalidade Compra;Situação Licitação;Código Órgão Superior;Nome Órgão Superior;Código Órgão;Nome Órgão;Código UG;Nome UG;Município;Data Resultado Compra;Data Abertura; Valor Licitação 
12017;6,31E+16;Objeto: Serviço de postagem de correspondências.;Inexigibilidade de Licitação;Encerrado;52000;Ministério da Defesa;52131;Comando da Marinha;764100;SERVICO DE IDENTIFICACAO DA MARINHA;RIO DE JANEIRO;23/01/2019;;R$ 5.567
12017;6,46E+16;Objeto: Obra de restauração da rede de esgoto do Museu Histórico do Exército e Forte de Copacabana.;Tomada de Preços;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160501;MUSEU HISTORICO DO EXERCITO FORTE COPACABANA;RIO DE JANEIRO;17/01/2019;;R$ 564.267
12018;13932201894;Objeto: Pregão Eletrônico -  Aquisição de materiais para o Hotel de Transito de Oficiais.;Pregão - Registro de Preço;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160383;12 REGIMENTO DE CAVALARIA MECANIZADO;JAGUARAO;29/01/2019;07/01/2019;R$ 250
12018;00012836/2018-76;Objeto: Pregão Eletrônico -  Contratação de serviço de desinsetização e desratização em geral, esgotadura de caixa de detritos, limpeza de caixa d`agua e esgoto, para suprir as necessidades do Batalhão da Guarda Presidencial e Unidades Participantes.;Pregão - Registro de Preço;Evento de Resultado de Julgame;52000;Ministério da Defesa;52121;Comando do Exército;160059;BATALHAO DE GUARDA PRESIDENCIAL;BRASILIA;17/01/2019;04/12/2018;R$ 1.745.071
12018;3,50E+14;Objeto: Pregão Eletrônico -  Registro de Preços para aquisição de Plataforma de Dados visando atender às necessidades da SEAP, bem como, fornecer informações necessárias para subsidiar o respectivo processo.  Trata-se de plataforma integrada de dados que permita capturar, integrar, orquestrar, transformar, enriquecer, consolidar, armazenar, proteger, analisar e publicar dados estruturados e não estruturados transacionais, analíticos e orientados a objeto em tempo real.;Pregão - Registro de Preço;Publicado;22000;Ministério da Agricultura, Pecuária e Abastec;22000;Ministério da Agricultura, Pecuária e Abastec;110745;SECRETARIA ESPECIAL DE AQUICULTURA E PESCA/PR;BRASILIA;02/01/2019;31/12/2018;R$ 85.976
12018;004/2018;Objeto: Contratação de empresa especializada para o fornecimento de 02 (duas) licenças do pacote Adobe Creative Cloud - Licenciamento para 12 meses.;Dispensa de Licitação;Encerrado;25000;Ministério da Economia;25000;Ministério da Economia - Unidades com vínculo;926397;AGÊN.BRAS.GEST.DE FUNDOS GARANTID.GARANT.S.A.;Inválido;02/01/2019;;R$ 6.200
12018;12018;Objeto: Monitor LED 34' IPS Full HD Widescreen.;Dispensa de Licitação;Encerrado;24000;Ministério da Ciência, Tecnologia, Inovações ;20502;Financiadora de Estudos e Projetos;365001;FINANCIADORA DE ESTUDOS E PROJETOS;RIO DE JANEIRO;10/01/2019;07/02/2018;R$ 2.173
12018;1,44E+15;Objeto: Pregão Eletrônico -  Contratação de empresa(s) especializada(s) na prestação de serviço de jardinagem e de apoio administrativo - secretariado, conforme condições, quantidades e exigências estabelecidas noEdital e seus anexos.;Pregão;Evento de Resultado de Julgame;55000;Ministério da Cidadania;42207;Instituto Brasileiro de Museus;343022;MUSEUS RAYMUNDO OTTONI DE CASTRO MAYA/RJ;RIO DE JANEIRO;08/01/2019;11/12/2018;R$ 218.696
12018;043.531/2018;Objeto: Pregão Eletrônico -  Aquisição de Material Permanente e Equipamentos (Convênio nº 838106/2016 e 83996582016 - FNDE/UEMA).;Pregão;Divulgado;99900;República Federativa do Brasil;94120;Estado do Maranhão;925438;UNIVERSIDADE ESTADUAL DO MARANHÃO;Inválido;29/01/2019;16/10/2018;R$ 101.142
12018;1,03E+16;Objeto: Pregão Eletrônico -  Contratação de serviços comuns de engenharia para instalação de uma central geradora de energia elétrica por sistema fotovoltaico, concomitante o projeto executivo.;Pregão;Evento de Resultado de Julgame;25000;Ministério da Economia;25000;Ministério da Economia - Unidades com vínculo;170042;DELEGACIA DA RFB EM JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;28/01/2019;28/09/2018;R$ 579.850
12018;2,12E+16;Objeto: Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de serviços continuado de limpeza, asseio e conservação, com fornecimento de todos os materiais e equipamentos, com execução mediante o regime de empreitada por preço global, para atender às necessidades do INMET 6º DISME no estado  do Rio de Janeiro, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Pregão;Publicado;22000;Ministério da Agricultura, Pecuária e Abastec;22000;Ministério da Agricultura, Pecuária e Abastec;130064;DISTRITO DE METEOROLOGIA DO R.DE JANEIRO;RIO DE JANEIRO;16/01/2019;14/12/2018;R$ 118.000
12018;21161.002344/2018;Objeto: A  contratação de empresa de engenharia especializada para execução, mediante o regime de empreitada por preço global, de obra referente a CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA  CONSTRUÇÃO DA GUARITA/ PÓRTICO DE ACESSO DA SEDE DA  EMBRAPA ARROZ E FEIJÃO - CNPAF, conforme especificações e demais elementos técnicos constantes do Projeto Básico, Projeto Executivo e demais Anexos deste Edital.;Tomada de Preços;Evento de Resultado de Julgame;22000;Ministério da Agricultura, Pecuária e Abastec;22202;Empresa Brasileira de Pesquisa Agropecuária;135036;EMBRAPA/CNPAF;SANTO ANTONIO DE GOIAS;09/01/2019;;R$ 231.228
12018;2,12E+16;Objeto: Publicação de extratos de contratos, termos aditivos, editais de pregão e outros que se fizerem necessários no exercício de 2019;Inexigibilidade de Licitação;Publicado;22000;Ministério da Agricultura, Pecuária e Abastec;22000;Ministério da Agricultura, Pecuária e Abastec;130057;DISTRITO DE METEOROLOGIA DE B.HORIZONTE;BELO HORIZONTE;22/01/2019;;R$ 3.400
12018;2,12E+16;Objeto: Pregão Eletrônico -  Contratação de empresa especializada em fornecimento de estrutura de eventos, conforme especificado no Anexo I   Termo de Referência do Edital;Pregão - Registro de Preço;Evento de Suspensão Publicado;22000;Ministério da Agricultura, Pecuária e Abastec;22202;Empresa Brasileira de Pesquisa Agropecuária;135017;EMBRAPA/CNPGC;CAMPO GRANDE;15/01/2019;23/11/2018;R$ 5.659
12018;2199/2018;Objeto: Pregão Eletrônico -  Prestação de serviços de agenciamento de viagens para fornecimento de passagens aéreas nacionais e internacionais;Pregão;Publicado;38000;Ministério do Trabalho e Emprego;38500;Conselho Federal de Contabilidade;925163;CONSELHO REGIONAL DE MEDICINA VETERINARIA-RS;Inválido;04/01/2019;05/12/2018;R$ 127.640
